ISO,Country ORIGINAL,Country
ETH,Ethiopia,Ethiopia
FJI,Fiji,Fiji
FIN,Finland,Finland
FRA,France,France
GUF,French Guiana,French Guiana
PYF,French Polynesia,French Polynesia
GAB,Gabon,Gabon
GMB,Gambia (the),Gambia
GEO,Georgia,Georgia
DEU,Germany,Germany
DDR,Germany Dem Rep,Germany
DFR,Germany Fed Rep,Germany
GHA,Ghana,Ghana
GRC,Greece,Greece
GRD,Grenada,Grenada
GLP,Guadeloupe,Guadeloupe
GUM,Guam,Guam
GTM,Guatemala,Guatemala
GIN,Guinea,Guinea
GNB,Guinea-Bissau,Guinea-Bissau
GUY,Guyana,Guyana
HTI,Haiti,Haiti
HND,Honduras,Honduras
HKG,Hong Kong,Hong Kong
HUN,Hungary,Hungary
ISL,Iceland,Iceland
IND,India,India
IDN,Indonesia,Indonesia
IRN,Iran (Islamic Republic of),Iran
IRQ,Iraq,Iraq
IRL,Ireland,Ireland
IMN,Isle of Man,Isle of Man
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
JPN,Japan,Japan
JOR,Jordan,Jordan
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KIR,Kiribati,Kiribati
PRK,Korea (the Democratic People's Republic of),North Korea
KOR,Korea (the Republic of),South Korea
KWT,Kuwait,Kuwait
KGZ,Kyrgyzstan,Kyrgyzstan
LAO,Lao People's Democratic Republic (the),Laos
LVA,Latvia,Latvia
LBN,Lebanon,Lebanon
LSO,Lesotho,Lesotho
LBR,Liberia,Liberia
LBY,Libya,Libya
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
MAC,Macao,Macao
MKD,Macedonia (the former Yugoslav Republic of),North Macedonia
MDG,Madagascar,Madagascar
MWI,Malawi,Malawi
MYS,Malaysia,Malaysia
MDV,Maldives,Maldives
MLI,Mali,Mali
MHL,Marshall Islands (the),Marshall Islands
MTQ,Martinique,Martinique
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MEX,Mexico,Mexico
FSM,Micronesia (Federated States of),Micronesia
MDA,Moldova (the Republic of),Moldova
MNG,Mongolia,Mongolia
MNE,Montenegro,Montenegro
MSR,Montserrat,Montserrat
MAR,Morocco,Morocco
MOZ,Mozambique,Mozambique
MMR,Myanmar,Myanmar
NAM,Namibia,Namibia
NPL,Nepal,Nepal
NLD,Netherlands (the),Netherlands
ANT,Netherlands Antilles,Netherlands Antilles
NCL,New Caledonia,New Caledonia
NZL,New Zealand,New Zealand
NIC,Nicaragua,Nicaragua
NER,Niger (the),Niger
NGA,Nigeria,Nigeria
NIU,Niue,Niue
MNP,Northern Mariana Islands (the),Northern Mariana Islands
NOR,Norway,Norway
OMN,Oman,Oman
PAK,Pakistan,Pakistan
PLW,Palau,Palau
PSE,"Palestine, State of",Palestine
PAN,Panama,Panama
PNG,Papua New Guinea,Papua New Guinea
PRY,Paraguay,Paraguay
PER,Peru,Peru
PHL,Philippines (the),Philippines
POL,Poland,Poland
PRT,Portugal,Portugal
PRI,Puerto Rico,Puerto Rico
QAT,Qatar,Qatar
REU,Réunion,Réunion
ROU,Romania,Romania
RUS,Russian Federation (the),Russia
RWA,Rwanda,Rwanda
BLM,Saint Barthélemy,Saint Barthélemy
SHN,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha"
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis
LCA,Saint Lucia,Saint Lucia
MAF,Saint Martin (French Part),Saint Martin
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
WSM,Samoa,Samoa
STP,Sao Tome and Principe,Sao Tome and Principe
SAU,Saudi Arabia,Saudi Arabia
SEN,Senegal,Senegal
SRB,Serbia,Serbia
SCG,Serbia Montenegro,Serbia
SYC,Seychelles,Seychelles
SLE,Sierra Leone,Sierra Leone
SGP,Singapore,Singapore
SXM,Sint Maarten (Dutch part),Sint Maarten
SVK,Slovakia,Slovakia
SVN,Slovenia,Slovenia
SLB,Solomon Islands,Solomon Islands
SOM,Somalia,Somalia
ZAF,South Africa,South Africa
SSD,South Sudan,South Sudan
SUN,Soviet Union,Soviet Union
ESP,Spain,Spain
LKA,Sri Lanka,Sri Lanka
SDN,Sudan (the),Sudan
SUR,Suriname,Suriname
SWZ,Swaziland,Swaziland
SWE,Sweden,Sweden
CHE,Switzerland,Switzerland
SYR,Syrian Arab Republic,Syrian Arab Republic
TWN,Taiwan (Province of China),Taiwan
TJK,Tajikistan,Tajikistan
TZA,"Tanzania, United Republic of",Tanzania
THA,Thailand,Thailand
TLS,Timor-Leste,Timor-Leste
TGO,Togo,Togo
TKL,Tokelau,Tokelau
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TKM,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands (the),Turks and Caicos Islands
TUV,Tuvalu,Tuvalu
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
ARE,United Arab Emirates (the),United Arab Emirates
GBR,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom
USA,United States of America (the),United States of America
URY,Uruguay,Uruguay
UZB,Uzbekistan,Uzbekistan
VUT,Vanuatu,Vanuatu
VEN,Venezuela (Bolivarian Republic of),Venezuela
VNM,Viet Nam,Vietnam
VGB,Virgin Island (British),Virgin Island
VIR,Virgin Island (U.S.),Virgin Island
WLF,Wallis and Futuna,Wallis and Futuna
YEM,Yemen,Yemen
YMN,Yemen Arab Rep,Yemen
YMD,Yemen P Dem Rep,Yemen
YUG,Yugoslavia,Yugoslavia
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
